Area_Axon;Area_Fiber;CentroidX;CentroidY;Perimeter_Fiber;Perimeter_Axon;Fiber_MinFeretdistance;Axon_MinFeretdistance;MyelinThickness_MinFeretdistance;MinFeretdistance_gratio;Fiber_circleArea_diameter;Axon_circleArea_diameter;MyelinThickness_CircleArea;CircleArea_gratio;Fiber_circlePerimeter_diameter;Axon_circlePerimeter_diameter;MyelinThickness_CirclePerimeter;CirclePerimeter_gratio;ShapeAdjustedEllipse_Fiber;ShapeAdjustedEllipse_Axon;MyelinThickness_ShapeAdjustedEllipse;ShapeAdjustedEllipse_gratio 
2.750745;6.897269;27.400000;-48.200000;12.333669;7.276779;2.157035;1.219939;0.468548;0.565563;3.250291;1.871933;0.689179;0.575928;2.641098;0.876034;0.882532;0.331693;1.935428;1.075872;0.429778;0.555883 
2.081424;3.558828;28.700000;-48.600000;11.105159;6.516817;2.282743;1.282793;0.499975;0.561952;3.104669;1.628342;0.738164;0.524482;2.409742;0.662874;0.873434;0.275081;2.032786;0.898361;0.567213;0.441936 
0.857057;7.860438;26.500000;-49.900000;10.508046;4.139793;2.199890;0.714250;0.742820;0.324675;2.964174;1.044889;0.959643;0.352506;2.196583;0.272948;0.961817;0.124260;1.971668;0.584582;0.693543;0.296491 
0.808082;7.991038;27.700000;-49.700000;7.122501;3.602677;1.971330;0.779961;0.595684;0.395652;2.129211;1.014596;0.557308;0.476513;1.133385;0.257351;0.438017;0.227064;1.593460;0.672899;0.460280;0.422288 
1.534540;7.566590;29.200000;-50.200000;11.259437;5.528295;2.388452;0.925668;0.731392;0.387560;3.164379;1.398152;0.883114;0.441841;2.503324;0.488707;1.007309;0.195223;2.091023;0.784418;0.653302;0.375136 
2.416085;8.293048;30.800000;-49.800000;11.596563;7.291064;2.554158;1.205654;0.674252;0.472036;3.190559;1.754370;0.718094;0.549863;2.544916;0.769454;0.887731;0.302349;2.033088;0.920099;0.556494;0.452562 
1.501891;8.015525;26.700000;-51.500000;13.519324;8.522431;1.791339;0.565686;0.612827;0.315789;3.195444;1.383198;0.906123;0.432866;2.552715;0.478309;1.037203;0.187373;1.637439;0.460275;0.588582;0.281094 
4.717896;14.080225;28.900000;-51.600000;16.553458;11.827980;3.959802;2.374167;0.792817;0.599567;4.235161;2.451542;0.891810;0.578854;4.484148;1.502514;1.490817;0.335072;2.415176;1.070243;0.672467;0.443132 
1.501891;8.660358;31.000000;-51.100000;13.896448;8.028170;2.219889;0.754248;0.732821;0.339768;3.321491;1.383198;0.969147;0.416439;2.758076;0.478309;1.139883;0.173421;1.726843;0.490885;0.617979;0.284267 
1.730439;9.884726;34.200000;-50.700000;13.953588;7.288207;2.337026;0.768533;0.784246;0.328851;3.628209;1.484716;1.071746;0.409215;3.290975;0.551095;1.369940;0.167457;2.117948;0.635290;0.741329;0.299955 
2.326298;9.223567;32.900000;-52.200000;11.827980;6.931082;2.299885;1.139943;0.579971;0.495652;3.269429;1.721464;0.773983;0.526533;2.672292;0.740859;0.965716;0.277237;2.099600;0.941940;0.578830;0.448629 
2.783395;7.525778;34.200000;-52.000000;18.027670;11.230867;2.959852;1.159942;0.899955;0.391892;4.203123;1.883010;1.160057;0.448003;4.416561;0.886432;1.765065;0.200706;2.116432;0.648860;0.733786;0.306582 
3.003781;6.799320;35.400000;-52.700000;12.613655;8.113880;2.582728;1.231367;0.675681;0.476770;3.427793;1.956137;0.735828;0.570670;2.937442;0.956618;0.990412;0.325664;2.140714;1.028530;0.556092;0.480461 
1.257017;10.333660;36.800000;-52.500000;12.813645;8.836701;1.834194;0.731392;0.551401;0.398754;2.943052;1.265423;0.838814;0.429970;2.165389;0.400324;0.882532;0.184874;1.454185;0.368658;0.542764;0.253515 
1.640652;8.390998;32.000000;-52.900000;16.342040;8.908126;3.154128;1.225653;0.964238;0.388587;3.724374;1.445684;1.139345;0.388168;3.467741;0.522501;1.472620;0.150675;1.822451;0.481028;0.670712;0.263946 
1.575353;13.868001;33.700000;-53.900000;12.647939;5.211168;3.514110;1.374217;1.069946;0.391057;3.548522;1.416622;1.065950;0.399215;3.148002;0.501705;1.323149;0.159372;2.337801;0.885180;0.726311;0.378638 
1.967150;10.888707;34.900000;-54.400000;10.653753;6.305399;2.519874;0.985665;0.767105;0.391156;3.096285;1.583011;0.756637;0.511261;2.396745;0.626481;0.885132;0.261388;2.179185;0.879091;0.650047;0.403404 
31.009144;108.658521;37.400000;-48.900000;38.595213;20.498975;10.539473;5.699715;2.419879;0.540797;11.765139;6.285069;2.740035;0.534211;34.604625;9.875523;12.364551;0.285382;9.258602;5.030106;2.114248;0.543290 
7.427829;94.929282;38.600000;-53.600000;33.832594;15.233524;8.133879;2.577014;2.778433;0.316825;9.816236;3.076069;3.370083;0.313365;24.089623;2.365551;10.862036;0.098198;6.885508;1.302902;2.791303;0.189224 
22.732420;116.127162;35.600000;-56.700000;39.560879;18.730492;10.948024;4.791189;3.078418;0.437630;12.162758;5.381310;3.390724;0.442442;36.983173;7.239624;14.871774;0.195755;9.816164;3.702761;3.056702;0.377211 
34.151687;75.641415;31.600000;-55.200000;36.786732;22.667438;9.962359;5.591149;2.185605;0.561227;10.996773;6.595857;2.200458;0.599799;30.232255;10.876333;9.677961;0.359759;8.229227;4.653682;1.787772;0.565507 
1.142743;9.043993;27.000000;-53.200000;12.005114;4.825473;2.257030;0.799960;0.728535;0.354430;3.030092;1.206534;0.911779;0.398184;2.295364;0.363931;0.965716;0.158550;1.695228;0.666259;0.514485;0.393020 
3.411904;11.386616;24.100000;-53.400000;12.407951;8.036741;2.628440;1.608491;0.509975;0.611957;3.394261;2.084796;0.654733;0.614212;2.880253;1.086594;0.896830;0.377256;2.142578;1.212808;0.464885;0.566051 
2.105912;7.207442;22.200000;-54.900000;15.624933;6.228260;3.056990;1.242795;0.907098;0.406542;3.808575;1.637892;1.085342;0.430054;3.626311;0.670673;1.477819;0.184946;2.031884;0.972243;0.529821;0.478493 
1.240692;10.227549;26.500000;-55.000000;13.176484;6.305399;2.068468;0.694251;0.687109;0.335635;3.182401;1.257179;0.962611;0.395041;2.531919;0.395125;1.068397;0.156057;1.677280;0.524797;0.576242;0.312886 
4.130199;7.950225;21.700000;-56.800000;14.067868;8.082453;3.571250;1.885620;0.842815;0.528000;4.116890;2.293774;0.911558;0.557162;4.237195;1.315350;1.460922;0.310429;2.938843;1.542496;0.698174;0.524865 
2.726258;13.304792;23.600000;-56.500000;11.873692;7.159642;2.934139;1.368503;0.782818;0.466407;3.554377;1.863583;0.845397;0.524306;3.158400;0.868235;1.145082;0.274897;2.668688;1.089513;0.789587;0.408258 
6.301411;9.917376;19.000000;-54.300000;18.556215;14.482133;3.071275;1.842765;0.614255;0.600000;4.577338;2.833245;0.872046;0.618972;5.238005;2.006819;1.615593;0.383127;2.481420;1.157453;0.661983;0.466448 
29.090968;16.447335;21.100000;-52.800000;34.095438;20.521831;9.130972;4.942610;2.094181;0.541302;10.413001;6.087574;2.162714;0.584613;27.107649;9.264640;8.921505;0.341772;8.238469;4.475091;1.881689;0.543195 
4.840332;85.118018;20.900000;-59.300000;16.624883;11.605134;2.831287;1.494211;0.668538;0.527750;4.262083;2.483149;0.889467;0.582614;4.541337;1.541507;1.499915;0.339439;2.437583;1.125430;0.656076;0.461699 
4.162849;14.259798;22.800000;-59.000000;16.444892;12.465091;3.568393;2.262744;0.652825;0.634107;4.238843;2.302823;0.968010;0.543267;4.491946;1.325748;1.583099;0.295139;2.443223;0.882236;0.780494;0.361095 
2.881344;14.104712;24.700000;-59.300000;11.985115;7.068218;2.985565;1.537066;0.724249;0.514833;3.475990;1.915856;0.780067;0.551168;3.020626;0.917626;1.051500;0.303787;2.436257;1.191553;0.622352;0.489092 
5.419866;9.484766;25.600000;-58.300000;15.059247;10.822316;3.025563;1.605634;0.709964;0.530689;4.164601;2.627601;0.768500;0.630937;4.335976;1.726072;1.304952;0.398082;2.676632;1.394535;0.641048;0.521004 
3.028269;13.614965;28.100000;-54.200000;13.547894;8.351011;2.831287;1.325648;0.752819;0.468214;3.609532;1.964094;0.822719;0.544141;3.257181;0.964417;1.146382;0.296089;2.185309;1.000072;0.592618;0.457634 
12.366110;94.757870;24.800000;-46.900000;37.678116;15.642075;8.056740;2.737006;2.659867;0.339716;10.986840;3.969006;3.508917;0.361251;30.177666;3.938252;13.119707;0.130502;7.785061;2.237038;2.774012;0.287350 
23.736402;69.846076;20.400000;-48.600000;31.058447;19.716157;7.905319;4.385495;1.759912;0.554752;9.432703;5.498859;1.966922;0.582957;22.243973;7.559364;7.342305;0.339839;7.347572;3.585503;1.881034;0.487985 
