Name;CenterX;CenterY;Area;Perimeter;MinFeret;CircleAreaDiameter;CirclePerimeterDiameter;SAEDiameter;PerimeterError;AreaError 
Unmyelinated axon;28.200000;-47.600000;0.391798;3.588392;0.377124;0.706474;1.142800;0.290544;0.020737;-0.000199 
Unmyelinated axon;28.000000;-47.700000;0.204061;2.208461;0.311413;0.509854;0.703332;0.253425;0.011399;-0.000104 
Unmyelinated axon;28.400000;-47.700000;0.293848;2.797003;0.285700;0.611824;0.890765;0.284572;0.015335;-0.000149 
Unmyelinated axon;29.200000;-48.000000;1.150905;5.765426;0.702822;1.210835;1.836123;0.536549;0.032543;-0.000584 
Unmyelinated axon;29.500000;-48.000000;0.146924;1.571350;0.331412;0.432625;0.500430;0.275855;0.004785;-0.000075 
Unmyelinated axon;25.500000;-48.600000;0.652996;3.782668;0.619969;0.912054;1.204671;0.479386;0.018168;-0.000331 
Unmyelinated axon;25.100000;-48.800000;0.342823;2.574157;0.457120;0.660846;0.819795;0.378511;0.010570;-0.000174 
Unmyelinated axon;27.300000;-49.000000;1.828389;6.028270;1.022806;1.526158;1.919831;0.857026;0.025806;-0.000927 
Unmyelinated axon;28.000000;-48.900000;0.310173;2.202747;0.551401;0.628590;0.701512;0.426814;0.005224;-0.000157 
Unmyelinated axon;27.200000;-49.300000;0.587696;3.631247;0.577114;0.865250;1.156448;0.447810;0.017830;-0.000298 
Unmyelinated axon;31.500000;-48.300000;0.530559;2.885570;0.705679;0.822114;0.918971;0.556543;0.006936;-0.000269 
Unmyelinated axon;29.300000;-49.600000;0.906032;3.931232;0.885670;1.074328;1.251985;0.676699;0.012475;-0.000460 
Unmyelinated axon;29.800000;-49.200000;1.208042;4.534059;1.054233;1.240527;1.443968;0.782885;0.014298;-0.000613 
Unmyelinated axon;29.600000;-49.700000;0.228549;1.891334;0.439978;0.539578;0.602336;0.366192;0.004495;-0.000116 
Unmyelinated axon;29.600000;-49.900000;0.302011;2.391309;0.451406;0.620264;0.761563;0.360597;0.009493;-0.000153 
Unmyelinated axon;30.000000;-50.000000;0.759108;4.142650;0.691394;0.983370;1.319315;0.506447;0.020477;-0.000385 
Unmyelinated axon;31.600000;-49.600000;1.281504;5.211168;0.854243;1.277689;1.659608;0.686666;0.024173;-0.000650 
Unmyelinated axon;31.900000;-50.100000;0.938682;3.874092;0.914240;1.093514;1.233787;0.727817;0.010021;-0.000476 
Unmyelinated axon;32.700000;-50.100000;0.897869;4.182648;1.045662;1.069478;1.332054;0.609058;0.017390;-0.000455 
Unmyelinated axon;32.600000;-50.600000;0.669321;3.459827;0.819959;0.923384;1.101856;0.560241;0.012306;-0.000339 
Unmyelinated axon;32.400000;-50.700000;0.302011;2.425593;0.514260;0.620264;0.772482;0.353279;0.010082;-0.000153 
Unmyelinated axon;29.500000;-51.000000;1.412104;4.816902;1.099945;1.341215;1.534045;0.871603;0.013696;-0.000716 
Unmyelinated axon;30.700000;-50.700000;0.742783;4.414065;0.548544;0.972739;1.405753;0.456520;0.024039;-0.000377 
Unmyelinated axon;35.300000;-49.800000;0.155087;1.637061;0.428550;0.444480;0.521357;0.277049;0.005373;-0.000079 
Unmyelinated axon;35.400000;-50.100000;0.138762;1.971330;0.268558;0.420436;0.627812;0.189723;0.011021;-0.000070 
Unmyelinated axon;35.300000;-50.500000;0.604021;3.494111;0.894241;0.877185;1.112774;0.486853;0.015306;-0.000306 
Unmyelinated axon;35.500000;-51.600000;0.669321;5.002607;0.479976;0.923384;1.593187;0.353237;0.028953;-0.000339 
Unmyelinated axon;36.700000;-51.900000;0.261198;2.168463;0.425693;0.576833;0.690593;0.348216;0.007822;-0.000132 
Unmyelinated axon;34.300000;-53.000000;0.693808;3.482683;0.742820;0.940123;1.109135;0.580613;0.011762;-0.000352 
Unmyelinated axon;34.700000;-53.000000;0.408122;2.708436;0.622826;0.721042;0.862559;0.435798;0.009737;-0.000207 
Unmyelinated axon;36.300000;-53.600000;0.938682;4.922611;0.782818;1.093514;1.567711;0.518215;0.026601;-0.000476 
Unmyelinated axon;30.000000;-51.700000;0.163249;1.722771;0.357125;0.456027;0.548653;0.273237;0.006341;-0.000083 
Unmyelinated axon;29.900000;-52.000000;0.701971;4.031227;0.642825;0.945637;1.283830;0.479645;0.020320;-0.000356 
Unmyelinated axon;29.900000;-52.300000;1.077443;4.562629;0.931382;1.171554;1.453067;0.671210;0.018724;-0.000546 
Unmyelinated axon;29.200000;-52.600000;0.799920;4.111223;0.694251;1.009458;1.309307;0.543564;0.019010;-0.000406 
Unmyelinated axon;29.500000;-52.600000;0.350985;2.425593;0.657110;0.668667;0.772482;0.427266;0.007332;-0.000178 
Unmyelinated axon;26.700000;-52.100000;0.114274;1.497068;0.359982;0.381539;0.476773;0.216275;0.006286;-0.000058 
Unmyelinated axon;26.300000;-52.400000;0.840732;4.396923;0.765676;1.034890;1.400294;0.527175;0.022045;-0.000426 
Unmyelinated axon;26.100000;-52.600000;0.546884;3.371260;0.557115;0.834666;1.073650;0.454511;0.015292;-0.000277 
Unmyelinated axon;27.700000;-52.200000;2.016125;6.133979;1.179941;1.602595;1.953496;0.941625;0.023738;-0.001023 
Unmyelinated axon;27.400000;-52.600000;0.253036;2.151321;0.511403;0.567749;0.685134;0.338629;0.008015;-0.000128 
Unmyelinated axon;27.700000;-52.700000;0.383635;2.751291;0.577114;0.699076;0.876207;0.394585;0.011655;-0.000195 
Unmyelinated axon;27.800000;-52.400000;0.228549;2.459877;0.419979;0.539578;0.783400;0.251813;0.013453;-0.000116 
Unmyelinated axon;27.900000;-52.700000;0.195899;1.831337;0.399980;0.499552;0.583228;0.313724;0.005868;-0.000099 
Unmyelinated axon;27.600000;-52.900000;0.318336;2.511303;0.514260;0.636807;0.799778;0.358416;0.010701;-0.000161 
Unmyelinated axon;27.900000;-53.000000;0.742783;4.105509;0.785675;0.972739;1.307487;0.499767;0.020358;-0.000377 
Unmyelinated axon;27.500000;-53.200000;0.089787;1.337076;0.305699;0.338199;0.425820;0.189679;0.005738;-0.000046 
Unmyelinated axon;27.500000;-53.400000;0.106112;1.345647;0.342840;0.367661;0.428550;0.231503;0.004275;-0.000054 
Unmyelinated axon;25.900000;-53.500000;1.338642;4.691194;1.114230;1.305862;1.494011;0.848237;0.013361;-0.000679 
Unmyelinated axon;25.800000;-53.900000;1.730439;5.448299;1.248509;1.484716;1.735127;0.930923;0.017550;-0.000878 
Unmyelinated axon;26.300000;-53.300000;0.253036;2.008471;0.548544;0.567749;0.639640;0.378876;0.005138;-0.000128 
Unmyelinated axon;26.300000;-53.600000;0.383635;2.879856;0.505689;0.699076;0.917152;0.370732;0.013646;-0.000195 
Unmyelinated axon;26.200000;-53.900000;0.269361;2.737006;0.439978;0.585777;0.871658;0.265431;0.015265;-0.000137 
Unmyelinated axon;26.200000;-54.200000;0.342823;2.685580;0.714250;0.660846;0.855280;0.356890;0.012357;-0.000174 
Unmyelinated axon;26.500000;-54.100000;0.644833;3.611248;0.739963;0.906335;1.150079;0.502835;0.015831;-0.000327 
